6148,450,558,291,6148,779,2692,879,199,1171,1004,4451,3772,2545,3825,4107,3853,7985,2803,1895,3479,918,3593,561,331,3767,6265,387,609,777,423,5751,354,509,637,451,390,18227,17367,56607,66342,62572,84532,104901,108969,122609,163409,167692,169311,190006,192356
6148,450,291,558,199,6148,779,2692,1004,1171,3479,4451,879,3593,3825,2803,7985,2545,4107,331,1895,3767,3853,17367,3772,561,387,918,609,6265,423,390,354,509,637,5751,451,777,18227,56607,62572,66342,84532,108969,104901,122609,169311,163409,167692,192356,190006
6148,558,291,450,879,6148,779,199,1004,2545,2692,1171,4451,4107,7985,331,3825,3479,3853,2803,1895,561,3593,3767,3772,637,387,509,918,390,451,354,6265,423,609,777,5751,18227,17367,66342,56607,62572,84532,108969,104901,122609,167692,163409,169311,190006,192356
6148,291,450,6148,199,558,1171,879,2692,779,1004,3825,7985,4451,3479,2545,1895,2803,3593,4107,331,3853,3772,3767,17367,561,387,918,6265,354,609,451,5751,777,509,637,423,390,18227,56607,66342,62572,84532,122609,104901,108969,169311,167692,163409,190006,192356
450,6148,558,779,6148,291,879,199,2692,4107,1004,1171,7985,3825,5751,2545,387,3772,561,2803,4451,609,3479,3853,1895,6265,3767,777,918,637,3593,331,423,509,390,451,354,18227,17367,56607,66342,62572,84532,104901,108969,122609,167692,163409,169311,190006,192356
291,6148,450,558,779,6148,879,1004,199,1171,2692,7985,3479,3767,3825,1895,2803,3853,561,4107,2545,3593,387,331,4451,3772,17367,918,609,6265,390,777,509,637,354,5751,451,423,18227,66342,56607,62572,84532,104901,108969,122609,169311,163409,167692,192356,190006
6148,558,450,291,199,6148,779,1004,2692,879,7985,4107,2803,1171,4451,3479,3853,918,2545,3825,3767,1895,331,3593,561,3772,387,6265,609,637,777,451,5751,509,354,423,390,18227,17367,62572,56607,66342,84532,104901,108969,122609,163409,167692,169311,190006,192356
6148,6148,450,291,558,779,199,2692,879,1171,2545,3479,1004,4451,387,7985,3825,2803,3853,4107,1895,17367,3593,3772,3767,331,561,918,609,6265,777,5751,637,390,451,354,509,423,18227,56607,62572,66342,84532,104901,108969,122609,167692,163409,169311,192356,190006
6148,199,450,291,6148,558,879,779,1004,2692,1171,3825,4451,7985,3479,2545,331,3853,4107,2803,1895,3772,3767,17367,561,509,451,918,777,354,3593,387,390,637,609,6265,5751,423,18227,56607,66342,62572,104901,84532,108969,122609,163409,167692,169311,190006,192356
6148,779,558,450,6148,1171,199,291,2692,879,354,3825,7985,1004,3479,17367,423,2803,4451,2545,4107,1895,3853,3767,637,509,387,918,3772,3593,331,561,451,390,777,6265,609,5751,18227,66342,56607,62572,84532,104901,108969,122609,169311,167692,163409,190006,192356
