No,Income,Debt,Crisp
350,4.30,1.02,0.300000
351,4.30,0.99,0.300000
11,9.69,0.45,0.300000
352,4.30,0.99,0.300000
353,4.30,0.99,0.300000
354,0.93,0.97,0.300000
10,9.69,0.45,0.300000
365,2.46,1.00,0.300000
366,2.46,0.98,0.300000
977,9.38,0.92,0.300000
978,3.19,0.98,0.300000
979,5.13,0.95,0.300000
980,5.13,0.92,0.300000
981,3.19,0.92,0.300000
982,3.19,0.98,0.300000
983,3.92,0.95,0.300000
984,3.19,1.04,0.300000
985,3.92,0.95,0.300000
986,3.92,0.98,0.300000
987,3.92,0.98,0.300000
988,2.98,0.95,0.300000
989,2.98,0.98,0.300000
367,2.46,0.98,0.300000
370,2.46,1.00,0.300000
9,9.69,0.03,0.300000
8,9.69,0.13,0.300000
7,9.69,0.23,0.300000
995,3.19,1.04,0.300000
996,3.94,0.86,0.300000
997,5.24,0.92,0.300000
998,5.24,1.04,0.300000
999,5.24,0.92,0.300000
1000,5.24,1.05,0.300000
1001,1.46,0.98,0.300000
1002,4.56,0.98,0.300000
1003,4.56,0.95,0.300000
1004,4.56,0.95,0.300000
1005,4.56,0.98,0.300000
1006,2.84,0.95,0.300000
1007,2.84,0.95,0.300000
1008,5.24,0.86,0.300000
1009,2.84,0.98,0.300000
1010,2.84,0.95,0.300000
1011,2.84,0.95,0.300000
1012,2.84,0.92,0.300000
1013,2.84,0.89,0.300000
1014,5.24,0.99,0.300000
1015,0.65,0.92,0.300000
1016,5.65,0.95,0.300000
1017,9.73,0.89,0.300000
1018,0.65,0.85,0.300000
1019,0.65,0.98,0.300000
1020,0.65,1.04,0.300000
1021,9.41,0.92,0.300000
1022,8.81,0.89,0.300000
1023,8.81,0.89,0.300000
1024,2.78,0.89,0.300000
1025,2.78,0.89,0.300000
1026,2.78,0.95,0.300000
1027,2.78,1.01,0.300000
374,9.67,1.00,0.300000
1029,2.78,1.01,0.300000
1030,2.78,0.98,0.300000
1031,9.78,0.85,0.300000
1032,2.78,0.98,0.300000
1033,9.78,0.98,0.300000
6,4.88,0.32,0.300000
1035,8.98,0.89,0.300000
1036,8.98,0.89,0.300000
1037,9.78,0.92,0.300000
1038,8.98,0.98,0.300000
1039,5.87,0.95,0.300000
5,4.88,0.37,0.300000
1041,2.62,0.95,0.300000
1042,9.96,0.68,0.300000
1043,5.96,0.87,0.300000
1044,8.25,0.95,0.300000
1045,8.25,0.95,0.300000
1046,8.25,0.95,0.300000
1047,8.25,0.92,0.300000
1048,8.25,0.98,0.300000
1049,8.25,1.01,0.300000
1050,5.03,0.98,0.300000
1051,5.03,0.98,0.300000
1052,7.69,0.98,0.300000
1053,7.69,0.95,0.300000
1054,7.13,0.95,0.300000
378,2.46,1.10,0.300000
4,4.88,0.50,0.300000
379,2.46,1.10,0.300000
1058,3.86,0.92,0.300000
1059,2.42,0.92,0.300000
1060,2.42,0.98,0.300000
1061,2.42,1.04,0.300000
1062,9.75,0.95,0.300000
1063,9.75,0.95,0.300000
1064,9.75,0.92,0.300000
380,2.46,1.10,0.300000
1066,6.56,0.80,0.300000
1067,0.01,0.80,0.300000
1068,2.42,1.07,0.300000
1069,0.01,0.80,0.300000
1070,2.42,1.07,0.300000
1071,0.01,0.80,0.300000
1072,4.92,0.74,0.300000
1073,1.42,0.83,0.300000
1074,1.42,0.98,0.300000
1075,8.27,0.95,0.300000
1076,8.27,0.95,0.300000
1077,9.58,0.92,0.300000
1078,6.33,0.92,0.300000
1079,6.57,0.95,0.300000
1080,6.57,0.95,0.300000
1081,6.57,0.98,0.300000
1082,6.57,0.98,0.300000
1083,6.57,0.98,0.300000
1084,6.57,0.98,0.300000
1085,6.57,0.98,0.300000
1086,1.91,0.92,0.300000
1087,1.91,0.98,0.300000
1088,1.91,0.91,0.300000
1089,6.57,0.98,0.300000
1090,1.91,0.91,0.300000
1091,1.91,0.84,0.300000
1092,6.57,0.92,0.300000
1093,6.57,0.86,0.300000
1094,6.57,0.86,0.300000
1095,7.89,0.80,0.300000
1096,1.39,0.74,0.300000
1097,7.29,0.68,0.300000
1098,3.17,0.70,0.300000
1099,1.81,0.63,0.300000
1100,1.81,0.56,0.300000
1101,1.81,0.49,0.300000
