450,558,291,199,6148,779,6148,879,1004,2692,1171,3825,3853,7985,4451,561,4107,2803,2545,3479,1895,17367,3767,18227,3772,3593,331,918,387,6265,609,777,5751,637,509,451,354,423,390,66342,56607,62572,104901,108969,84532,122609,190006,169311,167692,163409,192356
199,6148,450,6148,291,779,879,558,2692,1171,1004,3479,4451,7985,3825,2545,4107,2803,1895,3853,3772,17367,3767,3593,331,561,387,6265,918,609,18227,777,509,354,637,451,5751,423,390,66342,56607,62572,84532,108969,104901,122609,169311,163409,190006,167692,192356
291,6148,450,6148,558,199,779,879,1171,2692,1004,561,4107,2803,1895,609,3853,3479,7985,2545,4451,3825,17367,451,354,3593,3772,331,387,918,18227,6265,777,5751,637,509,3767,423,390,66342,104901,56607,62572,108969,84532,169311,167692,122609,190006,163409,192356
450,6148,291,199,558,1004,879,779,6148,2692,1171,7985,2803,918,4451,3479,3825,423,561,2545,4107,3853,1895,6265,3593,3772,637,387,331,609,17367,3767,777,5751,509,451,18227,354,390,66342,56607,62572,104901,108969,84532,122609,167692,163409,169311,192356,190006
6148,450,291,6148,199,558,879,779,2692,1171,1004,7985,3825,4451,4107,2803,2545,3479,3853,1895,3593,3772,17367,3767,561,331,18227,387,918,6265,637,609,777,5751,509,451,354,423,390,66342,56607,62572,84532,122609,104901,108969,167692,163409,169311,190006,192356
291,6148,6148,199,450,558,779,879,2692,1004,1171,7985,2545,3479,3825,4451,4107,2803,1895,3853,17367,3767,3593,3772,561,423,331,387,918,390,637,509,451,354,6265,609,777,5751,18227,66342,62572,104901,56607,84532,108969,122609,169311,163409,167692,190006,192356
779,450,6148,558,291,199,1171,2692,6148,879,3479,1004,609,4107,7985,3825,4451,387,2545,3853,2803,1895,354,3593,3772,509,637,423,451,390,17367,3767,331,561,18227,918,6265,777,5751,66342,56607,62572,108969,84532,122609,104901,163409,169311,167692,190006,192356
6148,450,291,199,779,6148,558,879,1171,2692,1004,2545,4451,3825,3479,7985,561,2803,3853,4107,609,17367,3767,3593,3772,331,18227,387,918,6265,777,5751,637,509,451,354,1895,390,423,62572,66342,56607,84532,104901,122609,108969,167692,163409,169311,190006,192356
291,450,6148,779,2692,558,199,6148,879,1004,1171,3593,2803,6265,7985,4451,3825,3479,2545,3853,1895,4107,18227,17367,3767,3772,331,387,561,918,609,777,509,5751,637,354,390,423,451,66342,56607,62572,104901,84532,108969,122609,163409,169311,167692,192356,190006
6148,558,291,6148,450,779,199,2692,879,1004,1171,3825,2803,1895,3479,4107,3853,7985,4451,387,331,6265,3767,509,451,637,354,390,423,17367,3593,3772,561,2545,918,609,777,5751,18227,66342,56607,62572,104901,108969,84532,122609,169311,167692,163409,192356,190006
