6148,558,291,387,6148,331,918,2545,509,451,637,561,3767,1171,879,450,199,779,1004,2692,423,390,354,609,1895,2803,3825,777,3772,4451,3479,4107,3593,3853,5751,6265,7985,18227,17367,190006,84532,56607,62572,66342,104901,169311,108969,122609,167692,163409,192356
450,6148,291,779,6148,199,558,2692,1004,879,4451,7985,3825,1171,5751,2545,1895,561,2803,637,387,777,509,423,354,609,390,331,3767,918,3593,3853,4107,3772,451,3479,6265,17367,18227,192356,56607,62572,122609,66342,104901,84532,108969,169311,167692,190006,163409
6148,558,450,6148,291,779,879,2692,1171,199,1004,17367,4451,3479,7985,3825,3767,509,2803,4107,3853,2545,1895,354,3593,423,3772,331,561,918,387,609,6265,451,637,390,777,5751,18227,56607,169311,62572,66342,104901,84532,167692,108969,122609,190006,163409,192356
6148,450,6148,291,558,2692,199,918,879,779,387,4107,1171,3479,1004,7985,4451,3825,2545,2803,609,6265,1895,17367,3853,3767,777,637,3593,3772,509,451,331,561,423,354,5751,390,18227,169311,56607,66342,62572,84532,167692,104901,108969,122609,190006,163409,192356
6148,291,450,6148,1171,779,558,7985,3825,879,2692,199,1004,6265,4451,2545,3479,918,2803,4107,3853,1895,17367,3593,3767,387,331,561,3772,637,777,451,509,609,354,5751,390,423,18227,104901,66342,56607,62572,167692,84532,108969,169311,122609,190006,192356,163409
291,450,779,6148,6148,558,199,4451,879,1171,2692,3825,1004,3772,331,7985,3479,2545,4107,2803,1895,3853,3767,17367,3593,387,918,609,777,637,354,451,509,390,423,561,6265,5751,18227,169311,56607,62572,66342,104901,84532,167692,108969,122609,190006,163409,192356
291,450,6148,6148,558,779,879,199,1171,2692,3772,4107,4451,7985,2545,3825,3479,1004,3853,2803,1895,331,17367,3767,3593,918,561,609,387,777,354,637,423,390,6265,509,451,5751,18227,56607,169311,66342,62572,84532,167692,104901,108969,122609,190006,163409,192356
6148,291,450,6148,779,558,199,7985,2692,4451,879,918,331,387,1171,561,3479,2545,4107,6265,3825,3853,1895,2803,3772,3767,17367,3593,1004,777,609,637,509,423,354,390,451,5751,18227,62572,56607,66342,192356,84532,122609,104901,108969,169311,167692,190006,163409
450,291,779,6148,6148,558,199,2692,879,4107,1171,7985,3825,3479,4451,1004,2803,2545,451,1895,5751,3767,3853,3593,17367,3772,561,331,918,387,777,609,637,6265,354,509,423,390,18227,169311,56607,62572,66342,84532,167692,104901,108969,122609,190006,163409,192356
6148,779,2692,291,879,6148,450,199,558,2545,3479,1004,4107,4451,1171,7985,387,3825,2803,6265,331,561,609,777,354,918,637,423,390,1895,509,451,3767,5751,3593,3772,3853,62572,17367,18227,56607,66342,192356,84532,104901,169311,108969,122609,167692,190006,163409
