6148,450,291,558,6148,879,779,199,2692,1171,1004,7985,3853,4107,387,1895,2545,331,561,3593,3825,3772,3767,2803,4451,3479,17367,354,918,6265,637,509,777,451,423,5751,609,390,18227,66342,104901,56607,84532,62572,108969,122609,169311,167692,190006,163409,192356
6148,291,450,6148,779,2692,558,879,1171,199,1004,3853,1895,387,3479,7985,4451,2803,4107,17367,3825,2545,3767,637,3593,3772,423,331,561,918,6265,18227,509,451,354,390,777,609,5751,84532,104901,66342,56607,62572,122609,108969,163409,169311,167692,190006,192356
6148,291,450,6148,779,199,558,879,1004,2692,3767,1171,4107,3479,4451,7985,777,2545,451,1895,2803,3853,3825,918,609,331,387,17367,3593,3772,561,509,423,6265,5751,354,637,18227,390,56607,104901,66342,84532,62572,108969,122609,169311,167692,190006,163409,192356
6148,450,558,779,291,6148,199,1171,879,2692,2545,4107,3825,4451,354,1004,3479,3853,7985,2803,3593,1895,17367,3767,3772,331,561,609,423,509,6265,387,918,777,5751,637,390,18227,451,66342,56607,84532,62572,104901,108969,163409,122609,169311,167692,190006,192356
6148,558,6148,199,879,291,450,2692,779,1004,1171,4451,2803,5751,17367,7985,4107,3825,2545,3853,3479,1895,3767,3772,918,387,3593,331,777,6265,561,637,451,609,509,354,423,390,18227,104901,66342,56607,62572,84532,122609,108969,163409,169311,167692,190006,192356
558,6148,291,450,779,199,6148,879,2692,1171,4451,7985,1004,2545,1895,609,3853,3772,3479,3825,4107,17367,451,3767,2803,3593,331,561,387,918,6265,777,509,637,5751,354,423,390,18227,104901,66342,56607,84532,62572,122609,163409,108969,169311,167692,192356,190006
6148,6148,450,1004,779,291,879,558,2692,199,1171,4107,7985,331,3825,3479,4451,2545,1895,5751,2803,390,17367,3853,3593,3767,3772,561,387,918,6265,609,777,637,509,451,354,423,18227,104901,66342,56607,84532,62572,108969,122609,169311,167692,190006,163409,192356
6148,450,291,6148,558,779,1171,2692,199,879,1004,7985,3767,3825,4107,4451,3479,2545,2803,3853,918,6265,1895,17367,3593,3772,331,561,387,609,777,5751,18227,637,509,451,354,390,423,66342,56607,84532,62572,104901,108969,122609,167692,192356,169311,190006,163409
291,450,6148,558,879,6148,2692,199,779,1171,451,1004,7985,4451,331,3479,2803,4107,2545,3825,1895,3853,17367,561,387,3593,3767,777,3772,609,5751,637,509,354,6265,423,390,918,18227,56607,104901,66342,84532,62572,108969,122609,169311,167692,190006,163409,192356
450,558,199,6148,291,6148,879,1171,2692,779,1004,3479,3853,3825,2545,7985,1895,4451,17367,2803,4107,3593,3772,331,387,561,423,390,354,18227,3767,918,6265,609,5751,777,637,509,451,66342,56607,84532,62572,104901,108969,122609,167692,190006,169311,163409,192356
450,6148,879,6148,291,558,779,199,1004,2692,7985,1171,2545,4107,561,3825,2803,4451,3853,509,354,3479,17367,3767,1895,3593,3772,331,387,918,609,6265,777,423,637,390,451,5751,18227,104901,56607,66342,84532,62572,108969,163409,122609,169311,167692,190006,192356
6148,558,199,450,6148,779,291,879,4107,3479,4451,1171,2692,387,2545,1895,3825,3853,2803,5751,1004,3593,7985,17367,3767,3772,331,918,561,609,6265,777,637,509,451,354,423,390,18227,104901,66342,56607,84532,62572,108969,122609,192356,169311,167692,163409,190006
