63504,12,12,2344,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1222,643,4390,7388,10553,29526,29465,221476,77295,109585,214440,241010,177801,182251,242632,185225,186639,256756,245952,270917,266917,264512,1359245
12,12,12,2344,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1222,643,4390,7388,10553,29526,29465,63504,241010,77295,221476,109585,242632,177801,182251,256756,185225,186639,214440,245952,270917,266917,264512,1359245
12,2344,12,12,12,12,12,12,12,12,12,12,12,12,12,12,643,12,12,12,12,1222,4390,7388,10553,29526,29465,241010,63504,77295,242632,109585,221476,214440,182251,177801,186639,185225,256756,245952,270917,266917,264512,1359245
63504,2344,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,643,1222,12,4390,7388,10553,29526,29465,241010,77295,109585,242632,221476,182251,177801,214440,185225,186639,245952,256756,270917,266917,264512,1359245
2344,63504,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1222,643,4390,7388,10553,29526,29465,221476,77295,109585,241010,242632,182251,177801,186639,185225,256756,214440,245952,270917,264512,266917,1359245
63504,12,12,2344,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1222,643,4390,7388,10553,29465,29526,221476,77295,109585,242632,256756,177801,182251,186639,185225,245952,241010,214440,270917,266917,264512,1359245
12,12,12,2344,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,643,1222,12,4390,7388,10553,29526,29465,63504,221476,77295,182251,109585,241010,245952,177801,186639,185225,242632,214440,256756,270917,266917,264512,1359245
63504,12,12,12,12,12,12,2344,12,12,12,12,12,12,12,12,12,12,643,12,12,12,1222,4390,7388,10553,29526,29465,221476,77295,109585,241010,256756,177801,182251,186639,185225,270917,214440,242632,245952,266917,264512,1359245
63504,2344,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1222,643,4390,7388,10553,29526,29465,242632,77295,109585,245952,256756,177801,182251,186639,221476,185225,214440,241010,270917,266917,264512,1359245
2344,12,12,12,12,1222,12,12,12,12,12,12,12,12,12,12,12,12,12,12,643,12,4390,7388,10553,29526,29465,221476,63504,77295,241010,109585,242632,214440,177801,182251,186639,185225,245952,270917,256756,264512,266917,1359245
